building,number,capacity,classification
HC,1021,30,Smart Classroom
HC,2005,32,Smart Classroom
HC,2017,30,Smart Classroom
HC,2019,30,Smart Classroom
HC,2020,30,Smart Classroom
FN,101-Black Box ,35,Smart classroom
FN,102,35,Smart classroom
FN,103,35,Smart classroom
FN,104,35,Smart classroom
FN,105,35,Smart classroom
DN,100,35,Smart classroom
DN,106,32,Smart classroom
DN,112,40,Smart Classroom
DN,118,30,Smart Classroom
DN,211,35,Smart classroom
DN,225,76,Smart classroom
DN,236,35,Smart classroom
DN,236A,35,Smart classroom
DN,237,42,Smart classroom
DN,238,35,Smart Classroom
DN,240A,27,Smart classroom
DN,240B,22,Smart classroom
DN,244,26,Smart Classroom
DN,246,36,Smart Classroom
DN,256A,30,Smart classroom
DN,256B,24,Smart classroom
DN,258A,24,Lenox Lab
DN,264,40,Smart classroom
DN,268,24,Smart classroom
FF,126,24,Smart classroom
FF,127,27,Smart classroom
FF,131,40,Smart classroom
FF,132,32,Smart classroom
FF,133,32,Smart classroom
FF,134,36,Smart classroom
FF,142,24,Smart classroom
FF,202,20,Open Comp Lab
FF,204,32,Smart classroom
FF,207,24,Smart classroom
FF,208,36,Smart classroom
FF,209,23,Smart classroom
LT,006,30,Smart classroom
LT,013,32,Smart classroom
LT,017,32,Smart classroom
LT,020,32,Smart classroom
LT,021,40,Smart classroom
LT,027,60,Large classroom
LT,129,32,Smart classroom
LT,133,32,Smart classroom
LT,158,24,Tool Box Lab
LT,239,30,Smart classroom
LT,240,30,Smart classroom
LB,301,18,Computer Lab
LB,302,35,Computer Lab
LB,303,35,Computer Lab
MUS,3202,30,Smart classroom
MUS,3203,30,Smart classroom
