course_title,subject,number,co_requisites,prerequisites,college,department,credit_hours,id
FINANCIAL ACCTNG,ACCT,203N,,,Management SM,School of Management SM,3,1
POLICING IN AMER,CRJU,230L,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Criminal Justice', '101L', 'Undergraduate', 'D', '']]",Behavioral and Social Science SB,School Behavioral/Social Sci SB,3,2
HONORS CONTRACT,HONR,401L,,,Registrar RG,Registrar RG,1,3
MEDIA INTERNSHIP,MDIA,361N,,,Communication and The Arts CO,School Communication Arts CO,3,4
DIGITAL TOOLBOX,COM,103L,,,Communication and The Arts CO,School Communication Arts CO,3,5
DATA MGT I,MSIS,537L,,,MSCS Computer Science CS,MSCS Computer Science CS,3,6
MODERN IRISH LIT,ENG,345L,,,Liberal Arts LA,School of Liberal Arts LA,3,7
FASHION INTERN,FASH,483N,,,Communication and The Arts CO,School Communication Arts CO,4,8
MODERN DANCE I,PHED,128N,,,Science SI,School of Science SI,1,9
THE EXCEPT CHILD,PSYC,207L,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Psychology', '101L', 'Undergraduate', 'D', '']]",Behavioral and Social Science SB,School Behavioral/Social Sci SB,3,10
INTRO TO DATA ANALYSIS,MSIS,545L,,,MSCS Computer Science CS,MSCS Computer Science CS,3,11
AMER REALST/NAT,ENG,347L,,,Liberal Arts LA,School of Liberal Arts LA,3,12
FASHION INTERN,FASH,484N,,,Communication and The Arts CO,School Communication Arts CO,6,13
BOXING,PHED,132N,,,Science SI,School of Science SI,1,14
MICROBIOLOGY,BIOL,312L,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Biology', '130L', 'Undergraduate', 'C', ''], ['And', '', '', '', 'Biology', '131L', 'Undergraduate', 'C', ''], ['And', '', '', '', 'Chemistry', '131L', 'Undergraduate', 'D', ''], ['Or', '(', '', '', 'Chemistry', '111L', 'Undergraduate', 'D', ''], ['And', '', '', '', 'Chemistry', '115L', 'Undergraduate', 'D', ')'], ['And', '', '', '', 'Chemistry', '132L', 'Undergraduate', 'D', ''], ['Or', '(', '', '', 'Chemistry', '112L', 'Undergraduate', 'D', ''], ['And', '', '', '', 'Chemistry', '116L', 'Undergraduate', 'D', ')']]",Science SI,School of Science SI,4,15
CORRECTIONS,CRJU,235L,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Criminal Justice', '101L', 'Undergraduate', 'D', '']]",Behavioral and Social Science SB,School Behavioral/Social Sci SB,3,16
MEDIA INTERNSHIP,MDIA,362N,,,Communication and The Arts CO,School Communication Arts CO,6,17
MANAGERIAL ACCTNG,ACCT,204N,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Accounting', '203N', 'Undergraduate', 'D', '']]",Management SM,School of Management SM,3,18
PSYC OF SLEEP,PSYC,210L,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Psychology', '101L', 'Undergraduate', 'D', '']]",Behavioral and Social Science SB,School Behavioral/Social Sci SB,3,19
ST:FASHION RESEARCH CAPPING,FASH,485L,,,Communication and The Arts CO,School Communication Arts CO,3,20
DATA COMM,MSIS,567N,,,MSCS Computer Science CS,MSCS Computer Science CS,3,21
SPECIAL TOPICS,COM,107L,,,Communication and The Arts CO,School Communication Arts CO,3,22
