department,time_blocks,allocation
SB,"[0,3]",7
CC,"[0,3]",5
CO,"[0,3]",7
LA,"[0,3]",18
SM,"[0,3]",6
SI,"[0,3]",7
PP,"[0,3]",0
SB,"[5,8]",8
CC,"[5,8]",5
CO,"[5,8]",7
LA,"[5,8]",17
SM,"[5,8]",6
SI,"[5,8]",7
PP,"[5,8]",0
SB,"[1,4]",8
CC,"[1,4]",5
CO,"[1,4]",7
LA,"[1,4]",17
SM,"[1,4]",6
SI,"[1,4]",7
PP,"[1,4]",0
SB,"[6,9]",7
CC,"[6,9]",5
CO,"[6,9]",7
LA,"[6,9]",18
SM,"[6,9]",6
SI,"[6,9]",7
PP,"[6,9]",0
SB,"[2,13]",8
CC,"[2,13]",5
CO,"[2,13]",6
LA,"[2,13]",18
SM,"[2,13]",6
SI,"[2,13]",7
PP,"[2,13]",0
SB,"[7,10]",7
CC,"[7,10]",5
CO,"[7,10]",6
LA,"[7,10]",18
SM,"[7,10]",6
SI,"[7,10]",8
PP,"[7,10]",0
SB,"[11,12]",8
CC,"[11,12]",5
CO,"[11,12]",6
LA,"[11,12]",18
SM,"[11,12]",6
SI,"[11,12]",7
PP,"[11,12]",0
SB,"[14,16]",8
CC,"[14,16]",5
CO,"[14,16]",6
LA,"[14,16]",18
SM,"[14,16]",6
SI,"[14,16]",8
PP,"[14,16]",0
SB,"[15,17]",7
CC,"[15,17]",5
CO,"[15,17]",7
LA,"[15,17]",18
SM,"[15,17]",6
SI,"[15,17]",7
PP,"[15,17]",0
SB,"[18,21]",8
CC,"[18,21]",5
CO,"[18,21]",6
LA,"[18,21]",18
SM,"[18,21]",6
SI,"[18,21]",7
PP,"[18,21]",0
SB,"[19,22]",8
CC,"[19,22]",5
CO,"[19,22]",7
LA,"[19,22]",17
SM,"[19,22]",6
SI,"[19,22]",7
PP,"[19,22]",0
SB,"[20,27]",8
CC,"[20,27]",5
CO,"[20,27]",7
LA,"[20,27]",17
SM,"[20,27]",6
SI,"[20,27]",7
PP,"[20,27]",0
SB,"[23,25]",7
CC,"[23,25]",6
CO,"[23,25]",7
LA,"[23,25]",18
SM,"[23,25]",6
SI,"[23,25]",6
PP,"[23,25]",0
SB,"[24,26]",8
CC,"[24,26]",6
CO,"[24,26]",7
LA,"[24,26]",17
SM,"[24,26]",6
SI,"[24,26]",6
PP,"[24,26]",0
SB,"[28,30]",8
CC,"[28,30]",6
CO,"[28,30]",7
LA,"[28,30]",17
SM,"[28,30]",6
SI,"[28,30]",6
PP,"[28,30]",0
SB,"[29,31]",8
CC,"[29,31]",6
CO,"[29,31]",7
LA,"[29,31]",17
SM,"[29,31]",6
SI,"[29,31]",6
PP,"[29,31]",0
SB,"[36,32,40]",12
CC,"[36,32,40]",7
CO,"[36,32,40]",3
LA,"[36,32,40]",9
SM,"[36,32,40]",11
SI,"[36,32,40]",4
PP,"[36,32,40]",1
SB,"[37,33,41]",13
CC,"[37,33,41]",6
CO,"[37,33,41]",3
LA,"[37,33,41]",9
SM,"[37,33,41]",10
SI,"[37,33,41]",5
PP,"[37,33,41]",1
SB,"[38,34,42]",13
CC,"[38,34,42]",7
CO,"[38,34,42]",3
LA,"[38,34,42]",8
SM,"[38,34,42]",11
SI,"[38,34,42]",4
PP,"[38,34,42]",1
SB,"[39,35,43]",13
CC,"[39,35,43]",7
CO,"[39,35,43]",3
LA,"[39,35,43]",9
SM,"[39,35,43]",10
SI,"[39,35,43]",4
PP,"[39,35,43]",1
