Subj,Course,Sec,Day,TimeSlot,Cap,Code,Number
CMPT,103L,111,MO,1,25,LB,303
CMPT,103L,111,TH,1,25,LB,303
CMPT,103L,112,TU,3,25,LB,302
CMPT,103L,112,FR,3,25,LB,302
CMPT,103L,113,MO,10,25,LB,303
CMPT,103L,113,TH,10,25,LB,B303
CMPT,103L,114,WE,12,25,LB,302
CMPT,103L,114,FR,12,25,LB,302
CMPT,103L,115,MO,6,25,LB,303
CMPT,103L,115,WE,6,25,LB,303
CMPT,103L,116,MO,15,25,LB,302
CMPT,103L,116,WE,15,25,LB,303
CMPT,103L,117,MO,8,25,LB,303
CMPT,103L,117,TH,8,25,LB,303
CMPT,103L,118,TU,11,25,LB,303
CMPT,103L,118,FR,11,25,LB,303
CMPT,103L,201,WE,23,25,LB,303
CMPT,105N,200,MO,17,18,DY,303
CMPT,105N,201,MO,19,18,DY,303
CMPT,105N,202,WE,17,18,DY,303
CMPT,105N,203,WE,19,18,DY,303
CMPT,120L,111,MO,2,25,HC,1021
CMPT,120L,111,TH,2,25,HC,1021
CMPT,120L,111,FR,4,25,HC,5
CMPT,120L,112,MO,10,25,HC,5
CMPT,120L,112,TH,10,25,HC,5
CMPT,120L,112,TU,11,25,HC,5
CMPT,120L,113,MO,8,25,HC,1021
CMPT,120L,113,TH,8,25,HC,1021
CMPT,120L,113,TH,10,25,DN,258A
CMPT,120L,114,TU,9,25,HC,1021
CMPT,120L,114,FR,9,25,HC,1021
CMPT,120L,114,FR,11,,HC,5
CMPT,120L,115,MO,15,25,HC,1021
CMPT,120L,115,WE,15,25,HC,1021
CMPT,120L,115,TU,16,,HC,5
CMPT,220L,111,TU,14,25,HC,1021
CMPT,220L,111,TH,14,25,HC,1021
CMPT,220L,111,TH,16,25,HC,5
CMPT,221L,112,MO,10,25,HC,1021
CMPT,221L,112,TH,10,25,HC,1021
CMPT,221L,112,WE,12,25,HC,5
CMPT,221L,113,TU,9,25,LT,240
CMPT,221L,113,FR,9,25,LT,240
CMPT,221L,113,TH,8,25,DN,258A
CMPT,221L,114,WE,12,25,HC,1021
CMPT,221L,114,WE,13,25,LB,303
CMPT,221L,114,FR,12,25,HC,1021
CMPT,230L,111,TU,7,25,HC,1021
CMPT,230L,111,TH,7,25,HC,1021
CMPT,230L,111,FR,5,25,HC,2019
CMPT,230L,112,MO,10,25,HC,2005
CMPT,230L,112,TH,10,25,HC,2005
CMPT,230L,112,TU,11,25,HC,4
CMPT,300L,111,MO,1,25,HC,2017
CMPT,300L,111,TH,1,25,HC,2017
CMPT,300L,112,MO,2,25,HC,2020
CMPT,300L,112,TH,2,25,HC,2020
CMPT,300L,200,TU,22,25,HC,2005
CMPT,300L,201,TH,24,25,HC,2020
CMPT,305L,111,WE,5,25,HC,1021
CMPT,305L,111,FR,5,25,HC,1021
CMPT,306N,111,MO,8,25,HC,4
CMPT,306N,111,TH,8,25,HC,4
CMPT,306N,111,TH,14,25,HC,4
CMPT,306N,112,MO,10,25,HC,4
CMPT,306N,112,TH,10,25,HC,4
CMPT,306N,112,WE,12,25,HC,4
CMPT,306N,200,MO,17,25,HC,1021
CMPT,306N,200,WE,17,25,HC,1021
CMPT,306N,200,MO,19,25,HC,1021
CMPT,306N,201,TU,18,25,HC,1021
CMPT,306N,201,TH,18,25,HC,1021
CMPT,306N,201,TH,20,25,HC,1021
CMPT,308N,111,MO,1,25,HC,4
CMPT,308N,111,MO,2,25,HC,4
CMPT,308N,111,TU,1,25,HC,4
CMPT,308N,113,MO,6,25,HC,2019
CMPT,308N,113,TU,7,25,HC,5
CMPT,308N,113,TH,7,25,HC,5
CMPT,321N,111,TU,14,25,HC,2017
CMPT,321N,111,TH,14,25,HC,2017
CMPT,331L,111,WE,5,25,HC,2005
CMPT,331L,111,FR,5,25,HC,2005
CMPT,414N,111,TU,14,15,HC,2020
CMPT,414N,111,TH,14,15,HC,2020
CMPT,414N,111,WE,13,15,HC,4
CMPT,422N,111,MO,2,25,HC,2005
CMPT,422N,111,TH,2,25,HC,2005
CMPT,422N,111,MO,6,25,HC,5
CMPT,422N,112,TU,7,25,HC,2019
CMPT,422N,112,TH,7,25,HC,2019
CMPT,422N,112,WE,13,25,HC,5
CMPT,424N,111,TU,3,25,DN,236
CMPT,424N,111,FR,3,25,DN,236
CMPT,424N,111,TU,4,25,DN,236
CMPT,428N,200,WE,23,25,HC,4
CMPT,428N,200,TH,7,25,HC,4
CMPT,430L,111,WE,12,25,HC,2017
CMPT,430L,111,WE,13,25,HC,2017
CMPT,435L,111,FR,5,25,DN,258A
CMPT,435L,111,FR,9,25,DN,258A
CMPT,466N,111,TU,4,24,HC,1021
CMPT,466N,111,FR,4,24,HC,1021
CMPT,466N,111,WE,6,24,HC,4
CMPT,475N,111,MO,10,25,HC,2017
CMPT,475N,111,MO,13,25,HC,2017
CMPT,475N,112,MO,13,25,HC,2019
CMPT,475N,112,MO,15,25,HC,2019
CMPT,475N,200,WE,23,25,HC,2005
CMPT,475N,201,WE,23,25,HC,2020
DATA,220L,111,TU,3,15,HC,2017
DATA,220L,111,FR,3,15,HC,2017
DATA,220L,111,WE,5,15,HC,2017
DATA,220L,112,TU,7,15,HC,2017
DATA,220L,112,TH,7,15,HC,2017
DATA,220L,112,FR,5,15,HC,2017
MSCS,565L,231,TU,14,10,HC,2020
MSCS,565L,231,TH,14,10,HC,2020
MSCS,565L,231,WE,13,10,HC,4
MSIS,537L,256,WE,23,20,LB,301
MSIS,720L,231,TU,14,25,DN,237
MSIS,720L,231,TU,16,25,DN,237
