Subj,Course,Sec,Type
CMPT,103L,111,Lab
CMPT,103L,112,Lab
CMPT,103L,113,Lab
CMPT,103L,114,Lab
CMPT,103L,115,Lab
CMPT,103L,116,Lab
CMPT,103L,117,Lab
CMPT,103L,118,Lab
CMPT,103L,201,Lab
CMPT,103L,721,Online
CMPT,103L,722,Online
CMPT,105N,200,Lab
CMPT,105N,201,Lab
CMPT,105N,202,Lab
CMPT,105N,203,Lab
CMPT,120L,111,Classroom
CMPT,120L,112,Lab
CMPT,120L,113,Classroom
CMPT,120L,114,Classroom
CMPT,120L,115,Classroom
CMPT,120L,200,Lab
CMPT,220L,111,Classroom
CMPT,221L,112,Classroom
CMPT,221L,113,Classroom
CMPT,221L,114,Classroom
CMPT,221L,200,Lab
CMPT,230L,111,Classroom
CMPT,230L,112,Classroom
CMPT,300L,111,Classroom
CMPT,300L,112,Classroom
CMPT,300L,200,Classroom
CMPT,300L,201,Classroom
CMPT,300L,721,Online
CMPT,300L,722,Online
CMPT,300L,741,Online
CMPT,305L,111,Classroom
CMPT,306N,111,Classroom
CMPT,306N,112,Lab
CMPT,306N,200,Lab
CMPT,306N,201,Classroom
CMPT,307N,111,Lab
CMPT,307N,112,Lab
CMPT,308N,112,Lab
CMPT,308N,113,Lab
CMPT,308N,200,Lab
CMPT,308N,201,Classroom
CMPT,321N,111,Classroom
CMPT,330L,111,Lab
CMPT,331L,111,Classroom
CMPT,404L,200,Classroom
CMPT,410N,200,Lab
CMPT,414N,111,Lab
CMPT,416N,111,Classroom
CMPT,419N,721,Online
CMPT,421N,111,Lab
CMPT,422N,111,Classroom
CMPT,422N,112,Lab
CMPT,424N,111,Classroom
CMPT,430L,111,Classroom
CMPT,432N,111,Classroom
CMPT,435L,111,Classroom
CMPT,475N,200,Classroom
CMPT,475N,201,Classroom
CMPT,475N,202,Classroom
CMPT,475N,203,Classroom
CMPT,476N,721,Online
CMPT,476N,722,Online
CMPT,476N,723,Online
CMPT,476N,724,Online
CMPT,476N,725,Online
CMPT,479N,111,Lab
CMPT,489N,111,Lab
CMPT,220L,111,Classroom
CMPT,220L,112,Classroom
CMPT,450L,700,Online
MSCS,501L,231,Classroom
MSCS,502L,711,Online
MSCS,502L,800,Classroom
MSCS,510L,256,Classroom
MSCS,542L,711,Online
MSCS,542L,800,Lab
MSCS,550L,256,Classroom
MSCS,560L,711,Online
MSCS,565L,231,Lab
MSCS,589N,231,Lab
MSCS,621L,711,Online
MSCS,710L,231,Classroom
MSCS,722L,711,Online
MSIS,527L,256,Classroom
MSIS,527L,711,Online
MSIS,537L,256,Lab
MSIS,537L,711,Online
MSIS,545L,711,Online
MSIS,545L,712,Online
MSIS,545L,800,Online
MSIS,567N,711,Online
MSIS,570N,256,Classroom
MSIS,570N,711,Online
MSIS,602N,711,Online
MSIS,602N,800,Lab
MSIS,620L,711,Online
MSIS,620L,800,Lab
MSIS,637L,711,Online
MSIS,645L,711,Online
MSIS,720L,231,Classroom
MSIS,730L,711,Online
MSIS,730L,800,Lab
